kma_jid,t_max,t_diff,t_avg,hu,pd_in,HW
20160123_CN,-4.3625,7.1,-8.175,69.9625,14,0
20160123_DG,-2.3,8.4,-5.8,37.6,11,0
20160123_DJ,-4.7,6.8,-8.2,64.8,3,0
20160123_GB,-2.725,8.991666666699999,-6.170833332999999,31.825,13,0
20160123_GG,-6.995238095,8.1095238095,-10.40714286,40.797619048,52,0
20160123_GJ,-3.2,5.2,-5.8,60.8,10,0
20160123_GN,0.0909090909,9.6863636364,-4.145454545,30.772727273,30,0
20160123_GW,-4.961111111,8.6111111111,-8.644444444,26.616666666999997,6,0
20160123_IC,-7.06,7.97,-10.7,55.7,13,0
20160123_JB,-4.853333333,6.073333333300001,-7.68,67.026666667,18,0
20160123_JJ,4.25,8.85,0.05,70.7,2,0
20160123_JN,-2.3,6.0181818182,-5.181818182,62.340909091,23,0
20160123_SU,-8.3,7.7,-11.5,42.0,52,0
20160123_US,0.4,9.1,-3.4,26.9,2,0
20160124_BS,-4.2,6.0,-7.6,45.4,4,0
20160124_CB,-9.933333333,6.953333333300001,-13.30666667,54.813333333,0,0
20160124_CN,-8.275,6.48125,-11.61875,77.925,3,0
20160124_DG,-7.6,5.4,-10.2,49.0,2,0
20160124_DJ,-8.7,8.3,-12.7,70.5,0,0
20160124_GB,-7.1791666670000005,7.3208333333,-10.80416667,41.9125,0,0
20160124_GG,-9.526190476,7.6571428571,-13.53333333,49.69047619,8,0
20160124_GJ,-7.7,4.0,-9.5,77.6,0,0
20160124_GN,-5.595454545,5.5409090909000005,-8.472727273,44.677272726999995,1,0
20160124_GW,-7.527777778,9.5888888889,-12.43333333,35.7,0,0
20160124_IC,-10.43,5.98,-13.18,58.9,3,0
20160124_JB,-8.526666667,5.3,-11.29333333,76.666666667,1,0
20160124_JJ,-0.6,5.5,-3.45,71.8,0,0
20160124_JN,-5.986363636,4.3181818182,-8.204545455,75.30909090899999,1,0
20160124_SU,-10.5,7.5,-14.4,48.5,5,0
20160125_BS,2.4,10.6,-2.6,44.8,64,0
20160125_CB,-3.206666667,11.96,-8.98,61.02,31,0
20160125_CN,-3.35625,11.35625,-8.69375,81.975,61,0
20160125_DG,0.1,10.3,-5.0,54.9,69,0
20160125_DJ,-2.1,12.1,-7.8,75.1,42,0
20160125_GB,-0.47083333299999997,11.575,-6.233333332999999,48.0625,70,0
20160125_GG,-3.15,12.083333332999999,-9.247619047999999,53.623809523999995,219,0
20160125_GJ,-1.5,9.7,-5.5,77.6,29,0
20160125_GN,2.0363636364,12.363636364000001,-4.131818182,49.690909091,61,0
20160125_GW,-2.605555556,12.855555555999999,-9.155555556,44.761111111000005,44,0
20160125_IC,-3.99,8.41,-7.82,60.66,51,0
20160125_JB,-2.106666667,13.353333333,-8.013333333,75.28,63,0
20160125_JJ,3.4,5.2,1.3,72.7,14,0
20160125_JN,-0.177272727,8.8227272727,-3.827272727,75.818181818,41,0
20160125_SU,-3.4,10.9,-9.4,47.1,229,0
20160125_US,2.3,9.7,-2.9,42.6,14,0
20160126_BS,7.3,11.2,1.4,49.4,68,0
20160126_CB,1.86,10.586666667000001,-3.4266666669999997,71.446666667,38,0
20160126_CN,3.48125,10.14375,-2.075,80.4,59,0
20160126_DG,4.9,10.4,-0.7,59.5,69,0
20160126_DJ,3.5,9.8,-1.8,76.3,27,0
20160126_GB,3.7958333332999996,11.891666667,-1.8625,56.2125,64,0
20160126_GG,2.0523809524,10.492857143,-3.504761905,71.283333333,202,0
20160126_GJ,4.0,7.8,-0.2,74.8,43,0
20160126_GN,5.759090909099999,12.986363635999998,-0.854545455,54.581818182,70,0
20160126_GW,1.5722222222,12.783333333,-3.9444444439999997,57.761111111000005,53,0
20160126_IC,2.85,8.81,-1.23,78.83,48,0
20160126_JB,2.96,8.9866666667,-1.5866666669999998,76.353333333,91,0
20160126_JJ,6.95,3.9,4.95,61.35,14,0
20160126_JN,4.05,7.2909090909000005,0.2227272727,72.08181818199999,64,0
20160126_SU,1.7,10.2,-3.3,64.5,234,0
20160126_US,7.6,11.9,0.8,52.9,17,0
20160127_BS,9.2,8.5,4.7,52.5,65,0
20160127_CB,4.5333333333,11.24,-1.54,65.033333333,31,0
20160127_CN,4.725,12.525,-2.1,80.34375,61,0
20160127_DG,8.1,12.5,0.9,56.4,62,0
20160127_DJ,5.8,10.6,-0.1,71.6,29,0
20160127_GB,6.9208333333,11.079166667,0.8625,48.7875,54,0
20160127_GG,4.3428571429,10.454761905,-1.402380952,63.797619048,219,0
20160127_GJ,6.7,8.1,2.0,75.9,39,0
20160127_GN,8.3363636364,12.090909090999999,1.6590909091,55.5,48,0
20160127_GW,4.7555555556,9.8222222222,-0.5166666670000001,49.777777778,27,0
20160127_IC,3.62,7.53,-0.5,71.02,55,0
20160127_JB,5.6866666667,11.213333333,-0.62,74.133333333,62,0
20160127_JJ,9.45,5.85,6.7,60.0,26,0
20160127_JN,6.9863636364,9.3772727273,1.7545454544999999,72.163636364,62,0
